Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
2009-09-29 17:48 	Samoa  			8.1	8.1 Mw 					189
2009-09-30 10:16 	Indonesia  				7.6 Mw 					1115
2010-01-12 17:00 	Haiti  	18.457	-72.533	13	7.0 Mw 					222517
2010-02-27 06:34 	Chile  	-35.846	-72.719	35	8.8 Mw  					521
2010-03-08 02:32 	Turkey  				6.1 Mw 					42
2010-03-11 14:39 	Chile  				6.9 Mw 					1
2010-04-14 23:49 	China  				6.9 Mw 					2698
2011-02-21 23:51 	New Zealand  				6.3 Mw 					181
2011-03-10 04:58 	China  				5.4 Mw 					
2011-03-11 14:46 	Japan  	38.322	142.369	24.4	9.0 Mw 					15894
2011-03-24 20:25 	Burma  				6.8 Mw 					150
2011-04-07 14:32 	Japan  	38.2	140	66	7.1 Mw 					
2011-09-18 12:40 	India  	27.723	88.064	19.7	6.9 Mw 					111
2011-09-23 10:41 	Turkey  	38.6	43.5	7.2	7.1 Mw 					601
