Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1979-10-20 01:41 	Indonesia 	-8.363	115.782	52	6.4 Mw 	2	2	2		
1980-08-09 05:45 	Guatemala 	15.912	-88.49	16.9	6.5 Mw 	2	2	2	2	
1980-09-24 17:54 	Japan 	35.525	140.062	71.5	6.0 Mw 	2	2			
1982-03-23 05:10 	Peru 	-12.341	-77.538	59.1	5.1 mb 	2	2	2		
1983-07-03 17:14 	Costa Rica 	9.612	-83.707	14.5	6.3 Mw 	2	2	2	2	
1983-10-28 14:06 	United States  	44.078	-113.8	16	6.9 Mw 	2	2	2	2	
1984-01-08 15:24 	Indonesia 	-2.866	118.726	43.6	6.7 Mw 	2	2	2	2	
1985-03-19 10:28 	Bolivia 	-18.567	-63.6	29.7	5.8 Mw 	2	2	2		
1986-05-13 08:44 	Georgia 	41.404	43.704	10	5.7 Mw 	2	2	2	2	
1986-06-11 13:48 	Venezuela 	10.573	-62.911	13.9	6.2 Mw 	2	2	2		
1986-08-30 21:28 	Romania  	45.521	26.271	136	7.2 Mw 	2	2	2		
1987-04-25 19:22 	Indonesia 	2.405	98.905	10	6.4 Mw 	2	2	2	2	
1987-05-29 06:27 	Iran 	34.059	48.285	25	5.3 Mw 	2	2	2	2	
1987-09-22 13:43 	Ecuador 	-1.009	-78.031	4.8	6.3 Mw 	2	2	2	2	
1987-12-17 02:08 	Japan 	35.421	140.322	47.3	6.5 Mw 	2	2	2	2	
1988-02-06 14:50 	Bangladesh 	24.713	91.579	35	5.8 Mw 	2	2	2	2	
1988-06-19 20:19 	Philippines 	12.355	121.085	12.7	6.2 Mw 	2	2	1		
1989-08-20 11:16 	Djibouti 	11.746	41.96	12	6.5 Mw 	2	2	2		
1990-12-13 03:01 	Taiwan 	23.883	121.645	9.4	6.3 Mw 	2	2	2		
1991-07-12 10:42 	Romania 	45.393	20.981	15	5.5 Mw 	2	2	2		
1991-11-19 22:28 	Colombia 	4.552	-77.356	21	7.2 Mw 	2	2	2	2	
1992-10-23 09:11 	Morocco 	31.275	-4.291	25.2	5.5 Mw 	2	2	2		
1993-01-15 11:06 	Japan 	43.024	144.141	102	7.6 Mw 	2	2			
1993-01-31 19:33 	China 	25.826	101.415	25	4.7 ML 	2	2			
1993-03-20 14:51 	China 	29.009	87.356	14.1	6.2 Mw 	2	2			
1993-07-22 04:57 	Colombia 	6.38	-71.206	20	6.0 Mw 	2	2	2		
1993-08-01 00:20 	Sudan 	15.401	31.701	11.8	5.5 Mw 	2	2	2	3	
1994-02-05 23:34 	Uganda 	0.558	30.081	14	6.2 Mw 	2	4	8	7	
1994-03-01 03:49 	Iran 	29.143	52.638	12.9	6.0 Mw 	2	2	2	3	
1994-07-04 21:36 	Mexico 	14.887	-97.312	15	6.4 Mw 	2	2	2		
1995-02-23 21:03 	Cyprus 	35.06	32.269	18	5.9 Mw 	2	2		2	
1995-10-03 01:51 	Ecuador 	-2.79	-77.823	24	7.0 Mw 	2	2	2	2	
1997-03-01 06:04 	China 	39.45	76.817	19.3	5.6 Mw 	2	2	1	2	
2000-06-06 02:41 	Turkey 	40.737	33.005	7	6.0 Mw 	2	2	2	2	
2000-07-17 22:53 	Afghanistan 	36.245	70.943	135	6.3 Mw 	2	2	2		
2000-11-10 20:10 	Algeria 	36.437	4.838	7	5.7 Mw 	2	2	2		
2001-03-24 06:27 	Japan 	34.108	132.54	42	6.8 Mw 	2	2	2	2	
2001-04-12 10:47 	China 	24.806	99.051	10.1	5.6 Mw 	2	2	2	2	
2001-05-23 21:10 	China 	27.619	100.901	2.1	5.4 Mw 	2	2	2	2	
2001-12-04 05:57 	Peru 	-15.353	-72.435	41.4	5.8 Mw 	2	2	2		
2002-04-24 19:48 	Iran 	34.602	47.401	25	5.4 Mw 	2	2	2	2	
2002-05-18 15:15 	Tanzania 	-2.919	33.738	9.8	5.5 Mw 	2	2	2	2	
2002-09-13 22:28 	India 	13.013	93.093	15	6.5 Mw 	2	2	2	2	
2002-10-24 06:08 	Democratic Republic of the Congo 	-1.962	29.013	11	6.2 Mw 	2	2	2		
2002-12-14 13:27 	China 	39.754	97.391	5	5.5 Mw 	2	2	2	2	
2003-07-26 23:18 	Bangladesh 	22.868	92.317	35	5.6 Mw 	2	2	2	2	
2003-12-22 19:15 	United States  	35.629	-121.075	16	6.6 Mw 	2	2	2	2	
2003-12-25 07:11 	Panama 	8.369	-82.842	34	6.5 Mw 	2	2	2	2	
2004-07-18 08:31 	Afghanistan 	33.344	69.479	5.7	5.2 Mw 	2	2		2	
2005-01-25 16:44 	Turkey 	37.603	43.691	40.6	5.9 Mw 	2	2			
2005-02-05 12:23 	Philippines 	5.321	123.338	522.1	7.1 Mw 	2	2			
2005-03-09 10:15 	South Africa 	-26.889	26.775	13	5.0 mb 	2	2		2	
2005-10-15 04:24 	Pakistan 	33.977	73.929	11.6	5.2 mb 	2	2			
2006-06-03 07:15 	Iran 	26.759	55.843	12	5.1 Mw 	2	2			
2006-12-26 12:26 	Taiwan  	21.799	120.547	10	7.0 Mw 	2	2			
2007-08-02 02:37 	Russian Federation 	47.11	141.81	5	6.2 Mw 	2	2		2	
2007-11-14 15:40 	Chile 	-22.247	-69.89	40	7.7 Mw 	2	2			
2008-06-08 12:25 	Greece  	37.963	21.525	16	6.4 Mw 	2	2		2	
2008-06-17 05:51 	China 	32.761	105.554	10	4.8 mb 	2	2			
1970-01-20 17:33 	Japan 	42.523	143.024	34.9	6.4 Ms 	1	1			
1970-07-31 17:08 	Colombia 	-1.486	-72.563	644.6	8.0 Muk 	1	1	1		
1971-06-17 21:00 	Chile 	-25.423	-69.052	90.1	7.2 mb 	1	1	1		
1971-07-27 02:02 	Ecuador 	-2.825	-77.362	94.5	7.3 mb 	1	1	1		
1971-10-27 17:58 	Vanuatu 	-15.578	167.32	60.9	6.3 mb 	1	1	1		
1972-01-25 02:06 	Taiwan 	22.549	122.325	10.1	7.5 Mw 	1	1	1		
1973-04-24 21:30 	Colombia 	4.907	-78.114	28.8	6.6 Muk 	1	1	1		
1973-11-11 07:14 	Iran 	30.535	52.951	2	5.5 mb 	1	1	1		
1973-11-23 13:36 	Portugal 	38.486	-28.329	18.5	5.2 Muk 	1	1	1		
1975-02-09 04:45 	Indonesia 	-6.774	106.634	15	5.6 Ms 	1	1	1		
1975-07-11 07:18 	Algeria 	36.32	5.241	33	4.3 mb 	1	1	1		
1975-10-31 08:28 	Philippines 	12.535	125.997	52.5	7.6 Muk 	1	1	1		
1975-11-05 17:04 	Mexico 	16.9	-92.818	12	5.0 mb 	1	1			
1975-12-31 09:45 	Greece 	38.526	21.714	15	5.5 Ms 	1	1	1		
1976-02-19 13:59 	Cuba 	19.864	-76.899	21.1	5.9 Ms 	1	1	1		
1976-03-25 11:55 	Turkey 	40.939	42.954	35	4.8 mb 	1	1	1	2	
1976-07-09 09:34 	Turkey 	38.327	40.463	33	4.2 mb 	1	1	1		
1976-11-30 00:40 	Chile 	-20.472	-68.896	133.7	7.5 Mw 	1	1	1		
1977-03-18 21:43 	Philippines 	16.755	122.285	32.5	7.2 Mw 	1	1	1	1	
1978-03-16 02:00 	Afghanistan 	29.928	66.234	10.2	6.1 Mw 	1	1			
1978-03-19 01:39 	Mexico 	16.932	-99.782	11	6.6 Mw 	1	1	1		
1978-06-19 10:31 	Greece 	40.732	23.257	7.7	5.3 Mw 	1	1	1	50	
1978-07-04 22:23 	Greece 	40.718	23.112	7.4	4.6 ML 	1	1	1		
1979-11-06 05:26 	Greece 	39.52	20.375	28.1	5.4 mb 	1	1	1		
1980-06-09 03:28 	Mexico 	32.268	-114.908	4.6	6.3 Mw 	1	1	1		
1980-07-09 02:11 	Greece 	39.257	23.008	17.2	6.6 Mw 	1	1	1		
1980-07-22 05:17 	Iran 	37.322	50.262	25	5.5 Mw 	1	1	1		
1980-09-23 19:10 	Japan 	35.997	139.74	82.7	5.3 Mw 	1	1		2	
1981-03-07 11:34 	Greece 	38.181	23.335	37.1	5.4 Mw 	1	1	1		
1981-06-13 07:29 	Afghanistan 	36.198	67.836	21	5.6 Mw 	1	1	1		
1982-11-16 23:41 	Albania 	40.78	19.666	21.9	5.6 Mw 	1	1	1	1	
1983-03-15 17:27 	Japan 	34.797	137.58	34.5	5.4 Mw 	1	1			
1983-04-03 02:50 	Costa Rica 	8.721	-83.078	25	7.4 Mw 	1	6	1	10	
1983-08-08 03:47 	Japan 	35.507	139.045	18.1	5.6 Mw 	1	1	1	1	
1983-11-08 00:49 	Belgium 	50.696	5.346	10	4.9 ML 	1	2	1	2	
1984-02-01 14:22 	Afghanistan 	34.564	70.446	9	6.1 Mw 	1	1	1	1	
1985-02-02 20:52 	Iran 	28.352	52.972	13.8	5.4 Mw 	1	1	1	1	
1985-03-29 11:15 	China 	29.35	104.953	35	4.9 mb 	1	1	2		
1985-05-10 15:35 	Papua New Guinea 	-5.601	151.056	47.2	7.2 Mw 	1	1	1		
1985-12-25 02:38 	Italy 	37.688	15.068	10	4.3 mb 	1	1	1		
1986-01-11 19:42 	Peru 	-9.512	-77.437	56.7	5.1 Mw 	1	1	1	1	
1986-05-20 05:25 	Taiwan 	24.146	121.643	15.8	6.2 Mw 	1	1	1		
1986-06-06 10:39 	Turkey 	38.007	37.91	22.5	5.8 Mw 	1	1	1		
1986-07-12 07:54 	Iran 	29.911	51.557	5.4	5.7 Mw 	1	1	1	1	
1987-01-26 11:11 	Algeria 	35.919	1.387	11.7	4.9 mb 	1	1	1	1	
1987-03-05 09:17 	Chile 	-24.395	-70.1	46.3	7.5 Mw 	1	1	1		
1987-03-18 03:36 	Japan 	32.051	131.785	54	6.6 Mw 	1	2	1		
1987-05-18 07:27 	Philippines 	8.267	125.324	19.1	6.2 Mw 	1	1	1		
1987-05-23 17:09 	Philippines 	8.023	125.479	22.4	5.7 Mw 	1	1	1		
1987-08-13 15:23 	Peru 	-17.9	-70.909	37.6	6.5 Mw 	1	1	1		
1988-07-20 23:15 	Taiwan 	23.986	121.679	51	5.9 Mw 	1	1	1		
1988-08-11 16:04 	Iran 	29.886	51.655	11	6.0 Mw 	1	1	1		
1989-02-19 12:27 	Japan 	36.038	139.86	45.4	5.5 Mw 	1	1			
1989-05-07 00:38 	China 	23.538	99.519	25.4	5.6 Mw 	1	1	1		
1989-06-12 00:04 	Bangladesh 	21.927	89.872	20	5.8 Mw 	1	1	1	1	
1989-08-03 07:42 	Russian Federation 	43.536	45.355	35	5.1 Mw 	1	1	1		
1989-08-08 08:13 	United States 	37.134	-121.925	15	5.4 ML 	1	1	1		
1989-12-15 18:43 	Philippines 	8.365	126.686	24	7.5 Mw 	1	1	2		
1990-03-26 22:47 	Philippines 	9.283	125.564	51.1	5.9 Mw 	1	1	1		
1990-06-09 01:14 	Peru 	-6.1	-77.133	23.5	5.5 Mw 	1	1	1		
1990-06-14 12:47 	Kazakhstan 	47.877	85.064	36	6.6 Mw 	1	1	3	1	
1990-10-20 08:07 	China 	37.096	103.718	8	5.7 Mw 	1	1	2	1	
1990-11-15 02:34 	Indonesia 	3.939	97.405	30	6.7 Mw 	1	1	7	1	
1990-12-21 06:57 	Greece 	40.977	22.346	13	6.1 Mw 	1	1	1	1	
1990-12-22 17:27 	Costa Rica 	9.982	-84.229	11.1	5.9 Mw 	1	2	1	1	
1991-04-24 10:54 	Turkey 	39.613	41.169	35	4.5 mb 	1	1	1		
1991-06-28 14:43 	United States 	34.237	-118.011	11	5.6 Mw 	1	2	1	2	
1991-11-28 17:19 	Iran 	36.826	49.582	18.4	5.6 Mw 	1	1	1		
1992-06-28 11:57 	United States  	34.19	-116.52	15	7.3 Mw 	1	3	1	1	
1992-09-08 00:38 	Iran 	29.132	52.147	26.8	5.2 mb 	1	1	1		
1992-10-18 15:11 	Colombia 	7.093	-76.764	3.5	7.1 Mw 	1	11	11		
1992-10-23 23:19 	Georgia 	42.561	45.096	16	6.4 Mw 	1	1	1	1	
1992-12-18 11:21 	China 	26.328	100.752	21.8	5.0 mb 	1	1	1		
1993-01-13 17:11 	Jamaica 	18.052	-76.594	14.2	5.5 Mw 	1	1	1		
1993-07-10 20:40 	Costa Rica 	9.824	-83.612	16.5	5.8 Mw 	1	2	1	3	
1993-09-10 19:12 	Mexico 	14.758	-92.646	34	7.2 Mw 	1	1	1		
1993-09-21 03:28 	United States 	42.305	-122.004	11	6.0 Mw 	1	2	1		
1994-06-05 01:09 	Taiwan 	24.455	121.85	11	6.3 Mw 	1	1	1		
1994-06-09 00:33 	Bolivia  	-13.86	-67.512	631	8.2 Mw 	1	5	10	0	
1994-09-16 06:20 	Taiwan  	22.555	118.719	13	6.7 Mw 	1	1	5	1	
1994-10-08 21:44 	Indonesia 	-1.206	127.98	17	6.8 Mw 	1	1	1	1	
1995-05-21 06:13 	Indonesia 	-8.288	122.944	26.4	5.2 Mw 	1	1	1		
1996-04-29 14:40 	Papua New Guinea 	-6.518	155.116	38	7.2 Mw 	1	1	1		
1996-10-09 13:10 	Cyprus 	34.562	32.143	22	6.8 Mw 	1	2	2		
1997-01-11 20:28 	Mexico 	18.193	-102.795	35	7.1 Mw 	1	1	1	1	
1997-05-13 11:42 	Iran 	33.399	59.88	11.6	4.5 mb 	1	1	1		
1997-05-13 14:13 	Afghanistan 	36.467	70.968	196	6.4 Mw 	1	1			
1998-02-20 12:18 	Afghanistan 	36.479	71.074	236	6.3 Mw 	1	1	1	1	
1998-09-09 11:27 	Italy 	40	15.975	10	5.6 Mw 	1	2	1		
1998-09-28 13:34 	Indonesia 	-8.177	112.34	151.6	6.5 Mw 	1	1	1		
1999-02-21 18:14 	Russian Federation 	43.262	46.909	41.9	5.3 Mw 	1	1	1	1	
1999-03-04 05:38 	Iran 	28.271	57.207	27.7	6.6 Mw 	1	1	1	1	
1999-04-03 06:17 	Peru 	-16.602	-72.518	85	6.8 Mw 	1	1	1		
1999-07-11 14:14 	Guatemala 	15.791	-88.285	15	6.7 Mw 	1	2	1		
1999-08-10 19:33 	Iran 	36.157	54.648	20	4.5 mb 	1	1	1		
1999-08-31 08:10 	Turkey 	40.767	29.912	8.4	5.1 Mw 	1	1	1	1	
1999-09-29 00:13 	Turkey 	40.736	29.35	7.6	5.2 Mw 	1	1	1		
1999-10-22 02:18 	Taiwan 	23.531	120.443	14	5.8 Mw 	1	1	1	1	
1999-11-11 14:41 	Turkey 	40.74	30.247	10	5.6 Mw 	1	2	1	3	
1999-11-24 16:40 	China 	24.586	102.845	15	5.0 ML 	1	1	1		
1999-12-03 17:06 	Turkey 	40.482	42.354	6.4	5.7 Mw 	1	1	1		
1999-12-11 18:03 	Philippines 	15.779	119.776	40	7.2 Mw 	1	5	1	6	
1999-12-15 05:12 	Philippines 	11.296	124.516	16.2	4.8 mb 	1	1			
2000-02-02 22:58 	Iran 	35.238	58.213	22.7	5.3 Mw 	1	1	1	1	
2000-06-07 23:45 	Indonesia 	-4.651	101.848	32	6.7 Mw 	1	1	1		
2000-08-21 13:25 	China 	25.726	102.24	5.4	4.9 mb 	1	1	1	1	
2000-09-20 08:37 	Ecuador 	-1.946	-80.522	40	5.5 Mw 	1	1	1		
2000-11-16 04:54 	Papua New Guinea 	-3.996	152.268	27.6	8.0 Mw 	1	2	2	1	
2001-02-17 20:25 	El Salvador  	13.787	-89.106	10	5.1 mb 	1	1	1		
2001-07-07 09:38 	Peru 	-17.532	-71.931	14.1	7.6 Mw 	1	1	1		
2001-07-24 05:00 	Chile 	-19.558	-69.234	13.4	6.3 Mw 	1	1	1		
2001-10-27 05:35 	China 	26.289	100.586	5.8	5.5 Mw 	1	1	1	1	
2002-01-10 11:14 	Papua New Guinea 	-3.264	142.447	11	6.7 Mw 	1	1	1	1	
2002-01-21 14:34 	Turkey 	38.633	27.887	27.5	4.8 ML 	1	1			
2002-02-17 13:03 	Iran 	28.089	51.792	16.4	5.3 Mw 	1	1	1	1	
2002-04-24 10:51 	Serbia 	42.42	21.533	8	5.7 Mw 	1	1	1	1	
2002-05-15 03:46 	Taiwan 	24.668	121.868	16.7	6.1 Mw 	1	1	1		
2003-01-27 05:26 	Turkey 	39.503	39.851	16.1	6.0 Mw 	1	1	1	1	
2003-03-29 11:46 	Afghanistan 	35.907	70.55	110	5.8 Mw 	1	1	1		
2003-05-26 19:23 	Indonesia 	2.349	128.879	31	6.9 Mw 	1	1	1	1	
2003-06-24 13:01 	Iran 	33.024	49.463	15	4.6 mb 	1	1	1		
2003-07-10 17:06 	Iran 	28.311	54.165	8	5.7 Mw 	1	1	1	1	
2003-09-22 04:45 	Dominican Republic 	19.766	-70.693	14	6.4 Mw 	1	3	1	3	
2003-11-13 02:35 	China 	34.713	103.865	35	5.1 Mw 	1	1	1	1	
2003-11-18 17:14 	Philippines 	12.113	125.416	35	6.5 Mw 	1	1	1		
2004-01-01 20:59 	Indonesia 	-8.349	115.758	45.4	5.8 Mw 	1	1		1	
2004-05-08 20:11 	Pakistan 	30.167	67.068	35	4.5 mb 	1	1			
2004-07-18 04:22 	New Zealand 	-38.013	176.432	2.4	5.4 Mw 	1	1			
2004-07-30 07:14 	Turkey 	39.69	43.935	20	4.8 mb 	1	1			
2004-08-11 15:48 	Turkey 	38.347	39.232	4.5	5.6 Mw 	1	1			
2004-09-07 11:53 	Argentina 	-28.568	-65.85	13	6.1 Mw 	1	1			
2004-09-15 08:35 	Indonesia 	-8.784	115.325	96.7	5.3 Mw 	1	1			
2004-11-21 11:41 	Guadeloupe 	15.679	-61.724	14	6.3 Mw 	1	1		1	
2004-12-01 23:17 	Indonesia 	-3.689	135.604	7.2	5.5 Mw 	1	1			
2005-01-23 20:10 	Indonesia 	-1.196	119.91	38.1	6.2 Mw 	1	1		1	
2005-02-02 05:55 	Indonesia 	-7.004	107.816	57.2	4.8 mb 	1	1			
2005-03-20 01:53 	Japan  	33.802	130.209	10.7	6.6 Mw 	1	1		1	
2005-06-04 14:50 	Papua New Guinea 	-6.355	146.846	44	6.1 Mw 	1	1		1	
2005-07-25 15:43 	China 	46.884	125.03	43.3	5.0 Mw 	1	1			
2005-10-27 11:18 	China 	23.604	107.798	10	4.2 mb 	1	1			
2005-11-08 07:54 	Vietnam 	9.973	108.226	14.7	5.3 Mw 	1	1			
2005-12-14 07:09 	India 	30.46	79.201	35.5	5.1 Mw 	1	1			
2006-03-10 07:50 	Pakistan 	33.129	73.887	10	4.9 Mw 	1	1			
2006-03-25 07:28 	Iran 	27.574	55.685	18	5.9 Mw 	1	1			
2006-08-25 05:51 	China 	28.012	104.151	21	5.0 Mw 	1	1			
2006-09-29 18:23 	Venezuela 	10.814	-61.758	52	5.5 Mw 	1	1			
2007-03-25 00:41 	Japan  	37.34	136.54	8	6.7 Mw 	1	1		1	
2007-10-26 06:50 	Pakistan 	35.304	76.753	10	5.2 Mw 	1	1			
2007-11-06 09:38 	India 	21.181	70.724	10	5.1 Mw 	1	1			
2007-11-07 04:12 	Philippines 	9.721	124.647	71	5.3 Mw 	1	1			
2007-11-29 19:00 	Martinique 	14.944	-61.274	156	7.4 Mw 	1	1			
2007-12-09 02:03 	Brazil 	-15.048	-44.231	10	4.9 mb 	1	1			
2008-01-09 22:24 	Algeria 	35.616	-0.57	10	4.6 Mb 	1	1			
2008-01-22 17:14 	Indonesia 	1.011	97.442	20	6.2 Mw 	1	1			
2008-02-06 06:09 	India 	23.433	87.111	10	4.3 mb 	1	1			
2008-02-14 02:07 	Rwanda 	-2.404	28.918	10	5.3 Mw 	1	1			
1969-09-09 05:15 	Japan 	35.786	137.093	7.5	6.0 Ms 	0	0	1		
1970-05-31 20:23 	Peru  	-9.248	-78.84	73	7.9 Muk 	0	70000	66794	66794	
1971-07-14 06:11 	Papua New Guinea 	-5.519	153.906	44.5	8.0 Mw 	0	1	2		
1976-09-15 09:21 	Italy 	46.354	13.087	9.7	5.9 Ms 	0	0	2		
1977-04-21 04:24 	Solomon Islands 	-10.009	160.816	45.1	7.3 Mw 	0	18	18		
1979-07-02 16:30 	India 	34.525	74.291	35	4.5 mb 	0	3			
1980-01-24 19:00 	United States 	37.712	-121.728	15	5.8 Mw 	0	0	1		
1980-02-20 02:34 	Italy 	39.291	16.152	8.2	4.8 ML 	0	1			
1980-11-19 19:00 	India 	27.392	88.795	38.5	6.3 Mw 	0	0	3	0	
1980-11-30 07:41 	Italy 	40.766	15.295	15.1	4.9 ML 	0	1			
1981-02-18 08:28 	South Africa 	-26.625	26.607	33	4.7 mb 	0	4	4		
1981-03-04 21:58 	Greece 	38.197	23.3	14.9	6.2 Mw 	0	1			
1981-03-10 15:16 	Greece 	39.382	20.813	36.4	5.4 Mw 	0	2	2	2	
1981-10-16 03:25 	Chile 	-33.178	-73.033	44.9	7.1 Mw 	0	1	1		
1982-04-13 11:26 	South Africa 	-27.926	26.783	5	5.0 mb 	0	1	1		
1983-02-13 01:40 	China 	39.994	75.173	9	6.2 Mw 	0	0	1		
1983-02-25 18:22 	Yugoslavia 	41.959	21.54	24	4.7 mb 	0	12		12	
1983-07-20 22:03 	Italy 	37.502	15.151	33	4.4 mb 	0	1			
1983-08-02 09:01 	France 	49.15	6.698	0	3.5 ML 	0	1	1		
1984-01-25 19:36 	United States 	47.5	-116	1	2.3 ML 	0	1	1		
1984-03-06 02:17 	Japan 	29.372	138.871	459.1	7.4 Mw 	0	1			
1984-04-22 17:39 	Italy 	43.616	10.194	15	4.7 ML 	0	3			
1984-05-11 10:41 	Italy 	41.755	13.901	10.9	5.5 Mw 	0	3			
1984-05-13 12:45 	Bosnia and Herzegovina 	42.974	17.829	37	5.4 Mw 	0	1	1		
1984-06-20 14:12 	Canada 	46.58	-80.8	1	3.4 Lg 	0	4	4		
1984-09-15 02:55 	United States 	47.46	-115.987	1	2.8 ML 	0	1			
1985-03-14 23:03 	Italy 	41.631	14.263	14	4.3 ML 	0	1			
1985-03-17 10:41 	Chile  	-32.712	-71.68	22	6.5 Mw 	0	1			
1985-03-18 19:49 	Philippines 	7.776	123.512	26.5	6.5 Mw 	0	2		2	
1985-04-09 01:56 	Chile  	-34.134	-71.535	38	7.1 Mw 	0	2			
1986-03-12 16:32 	United States 	47.47	-115.8	1	2.0 ML 	0	1	1		
1986-07-13 13:47 	United States 	33.066	-117.84	15	5.8 Mw 	0	0	1	0	
1986-07-18 17:22 	Venezuela 	10.743	-69.424	8.3	5.4 Mw 	0	1		1	
1986-12-18 20:01 	Poland 	50.304	19.235	10	2.8 ML 	0	3	3		
1987-01-22 05:10 	Italy 	43.515	10.154	21	4.2 ML 	0	2			
1987-02-08 18:33 	Papua New Guinea 	-6.025	147.665	42.3	7.3 Mw 	0	3	3	1	
1987-03-02 01:42 	New Zealand  	-38.015	176.921	15	6.5 Mw 	0	1		1	
1987-03-12 23:07 	Poland 	51.369	20.206	10	2.6 ML 	0	3	3		
1987-05-02 20:43 	Italy 	44.809	10.68	15	5.2 ML 	0	1			
1987-06-18 10:01 	Philippines 	17.324	121.353	13.9	5.9 Mw 	0	9	9		
1987-08-02 09:07 	China 	25.002	115.566	11.2	4.9 mb 	0	0	3	0	
1987-10-04 10:59 	United States  	34.02	-118.137	11.3	5.2 Mw 	0	1			
1987-11-24 01:54 	United States 	33.257	-115.756	15	6.0 Mw 	0	2	2	2	
1988-01-05 06:41 	South Africa 	-26.905	26.694	15	5.2 mb 	0	8	8	8	
1988-02-11 15:25 	United States 	34.08	-118.05	12	4.8 ML 	0	1			
1988-08-10 04:38 	Solomon Islands 	-10.32	160.933	34	7.5 Mw 	0	1	1	1	
1988-09-02 07:26 	Czech Republic 	49.886	18.489	10	3.8 ML 	0	3	3		
1989-03-10 14:14 	Papua New Guinea 	-4.332	152.842	49.6	5.8 Mw 	0	1	1		
1989-05-27 20:08 	Iran 	30.148	50.892	15	6.0 Mw 	0	0		100	
1989-06-26 03:27 	United States Minor Outlying Islands 	19.417	-155.149	9	6.4 Mw 	0	0		5	
1989-08-01 00:18 	Indonesia 	-4.48	138.983	14	6.1 Mw 	0	120	120	120	
1989-09-22 02:25 	China 	31.555	102.422	10.9	6.1 Mw 	0	0	1	0	
1990-02-09 17:57 	China 	31.745	120.982	11.9	5.0 mb 	0	0	2		
1990-05-05 07:21 	Italy 	40.712	15.805	9.1	5.8 Mw 	0	2			
1990-07-13 14:20 	Afghanistan 	36.448	70.775	209.8	6.3 Mw 	0	43	43		
1990-09-26 23:08 	South Africa 	-28.09	26.837	15	5.0 Mw 	0	2	2		
1990-10-18 09:30 	South Africa 	-26.39	27.349	5	4.0 Lg 	0	10	10	10	
1991-02-13 15:49 	France 	44.885	6.76	5	3.8 ML 	0	9	9		
1991-03-25 18:02 	China 	39.947	113.989	15	5.4 Mw 	0	0	1		
1991-05-03 20:19 	Georgia 	42.68	43.245	3.7	5.6 Mw 	0	3	3		
1991-05-04 03:42 	Panama 	9.547	-82.44	6.9	6.2 Mw 	0	0	2	0	
1991-05-26 10:59 	Malaysia 	5.858	116.652	48.6	5.1 mb 	0	1			
1991-06-15 11:15 	Philippines 	15.165	120.316	46.4	5.6 Mw 	0	137			
1991-06-21 06:27 	El Salvador 	13.408	-89.633	69.8	5.8 Mw 	0	1	1		
1992-02-14 17:28 	South Africa 	-26.42	27.43	5	3.4 Lg 	0	4	4		
1992-03-07 01:53 	Costa Rica 	10.228	-84.302	79	6.5 Mw 	0	1			
1992-04-13 01:20 	Netherlands 	51.181	5.844	18	5.4 Mw 	0	1		1	
1992-04-23 15:32 	Burma 	22.407	98.848	7.9	6.1 Mw 	0	0	4		
1993-01-08 06:57 	South Africa 	-28.028	26.8	5	2.7 ML 	0	6	6		
1993-03-26 11:58 	Greece 	37.613	21.526	15	5.4 Mw 	0	0		1	
1993-06-22 16:32 	Iran 	30.179	50.826	12.6	5.3 Mw 	0	0		24	
1993-10-11 15:54 	Japan 	32.03	137.926	351	6.9 Mw 	0	1			
1993-11-22 22:43 	Nicaragua 	11.718	-86.084	112.6	5.9 Mw 	0	1			
1993-11-30 20:37 	China 	39.326	75.505	12.7	5.6 Mw 	0	0	2		
1994-05-26 08:26 	Morocco 	35.25	-4.089	10	5.9 Mw 	0	0	2		
1994-09-01 07:11 	South Africa 	-26.447	27.405	5	2.7 ML 	0	3			
1995-02-03 15:26 	United States 	41.488	-109.785	1	5.3 mb 	0	1	1		
1995-02-23 05:19 	Taiwan 	24.233	121.706	43.6	6.2 Mw 	0	2	2		
1995-05-13 08:47 	Greece 	40.144	21.718	14	6.6 Mw 	0	0		26	
1995-05-14 11:33 	Indonesia 	-8.462	125.039	11	6.9 Mw 	0	11	11		
1995-06-25 06:59 	Taiwan 	24.62	121.679	60.3	5.9 Mw 	0	1	1		
1995-12-19 20:56 	Guatemala 	15.175	-90.171	15	5.3 Mw 	0	1	1		
1995-12-19 23:28 	Indonesia 	-3.665	140.263	63	6.4 Mw 	0	2	2		
1996-02-21 12:51 	Peru  	-9.722	-79.868	15	7.5 Mw 	0	7			
1996-08-14 01:55 	Turkey 	40.697	35.293	25.8	5.7 Mw 	0	0	1	0	
1997-01-22 17:57 	Turkey 	36.199	35.902	46.1	5.7 Mw 	0	0	1		
1997-04-05 23:46 	China 	39.525	76.83	15	5.9 Mw 	0	0		9	
1997-05-21 23:50 	Spain 	42.83	-7.231	17.1	5.3 Mw 	0	1			
1997-07-21 08:45 	South Africa 	-26.857	26.619	5	5.0 mb 	0	15	15	15	
1997-11-06 02:34 	Canada 	46.771	-71.387	22.5	5.1 Lg 	0	1	1		
1998-01-30 12:16 	Chile 	-23.85	-70.147	42	7.0 Mw 	0	1			
1998-03-26 16:26 	Italy 	43.224	12.919	10	5.4 Mw 	0	1			
1998-04-12 10:55 	Slovenia 	46.271	13.653	7.5	5.6 Mw 	0	1		0	
